Sample,RelativeGE,Tissue,Treatment
M1-hyp,2.99557452,hypothalamus,morphine
M2-hyp,2.214557526,hypothalamus,morphine
M3-hyp,2.052157836,hypothalamus,morphine
M4-hyp,1.712856968,hypothalamus,morphine
M5-hyp,0.996944263,hypothalamus,morphine
M6-hyp,1.28014939,hypothalamus,morphine
M7-hyp,0.84809681,hypothalamus,morphine
S1-hyp,1.773201264,hypothalamus,saline
S2-hyp,1.898776672,hypothalamus,saline
S3-hyp,1.839161351,hypothalamus,saline
S4-hyp,1.566428234,hypothalamus,saline
S5-hyp,1.585340467,hypothalamus,saline
S6-hyp,1.669951264,hypothalamus,saline
S7-hyp,3.028272489,hypothalamus,saline
S8-hyp,2.750140104,hypothalamus,saline
S9-hyp,2.862109544,hypothalamus,saline
M1-ret,3.711174908,retina,morphine
M2-ret,1.077597095,retina,morphine
M3-ret,0.9306124,retina,morphine
M4-ret,1.123232733,retina,morphine
M5-ret,1.006123068,retina,morphine
M6-ret,0.690094174,retina,morphine
M7-ret,0.844498296,retina,morphine
S1-ret,0.81393077,retina,saline
S2-ret,1.011356619,retina,saline
S3-ret,1.040254721,retina,saline
S4-ret,1.148600182,retina,saline
S5-ret,0.863257036,retina,saline
S6-ret,0.936342101,retina,saline
S7-ret,1.349894854,retina,saline
S8-ret,0.78469375,retina,saline
S9-ret,1.187475949,retina,saline
