animal,raw_conc,ht_wt,body_wt,day,ZT,sex,dose,tissue
730AM 1M,37.381,10.4,29.5,1,0.5,M,20.3,hypothalamus
730AM 2M,33.049,11.6,30.4,1,0.5,M,19.7,hypothalamus
730AM 3M,41.316,10.3,31,1,0.5,M,19.4,hypothalamus
730AM 4M,61.84,15.4,30.4,1,0.5,M,19.7,hypothalamus
730AM 5M,47.071,14.2,33.1,1,0.5,M,18.1,hypothalamus
730AM 6M,50.328,9.5,29.6,1,0.5,M,20.3,hypothalamus
730AM 7M,43.809,8.6,29.5,1,0.5,M,20.3,hypothalamus
730AM 9M,27.171,9,26.5,1,0.5,M,22.6,hypothalamus
8AM 10M,17.834,6,29.7,1,1,M,20.2,hypothalamus
8AM 11M,34.579,7.3,31.3,1,1,M,19.2,hypothalamus
8AM 12M,58.49,11.5,33.3,1,1,M,18,hypothalamus
8AM 13M,15.521,6.3,30.2,1,1,M,19.9,hypothalamus
8AM 16M,26.872,8,28.4,1,1,M,21.1,hypothalamus
8AM 17M,8.808,6.2,27.5,1,1,M,21.8,hypothalamus
8AM 21M,48.272,16.7,30.5,1,1,M,19.7,hypothalamus
8AM 22M,38.021,14.3,30.8,1,1,M,19.5,hypothalamus
8AM 23M,29.467,9.4,29.8,1,1,M,20.1,hypothalamus
8AM 24M,59.633,21.3,26.5,1,1,M,20.4,hypothalamus
8AM 25M,84.698,29.6,27.7,1,1,M,19.5,hypothalamus
8AM 26M,47.955,16.5,28.3,1,1,M,19.1,hypothalamus
8AM 27M,67.82,26.9,26.7,1,1,M,20.2,hypothalamus
8AM 28M,36.129,13.9,27.6,1,1,M,19.6,hypothalamus
8AM 29M,22.288,16.4,27.9,1,1,M,19.4,hypothalamus
8AM 30M,56.956,16.3,25.8,1,1,M,20.9,hypothalamus
8AM 31M,82.538,31.7,26.2,1,1,M,20.6,hypothalamus
9AM 2M,27.277,15.7,28.8,1,2,M,20.8,hypothalamus
9AM 4M,6.576,7.5,29.5,1,2,M,20.3,hypothalamus
9AM 8M,8.038,2.8,34.4,1,2,M,17.4,hypothalamus
9AM 9M,4.804,3.9,34.2,1,2,M,17.5,hypothalamus
9AM 10M,38.671,8.6,28.6,1,2,M,21,hypothalamus
9AM 11M,32.204,5.3,29.9,1,2,M,20.1,hypothalamus
9AM 12M,9.087,14,31.5,1,2,M,19.1,hypothalamus
9AM 13M,44.269,9.5,27.4,1,2,M,21.9,hypothalamus
9AM 14M,65.089,12.3,30.3,1,2,M,19.8,hypothalamus
9AM 15M,7.783,8.6,30.4,1,2,M,19.7,hypothalamus
10AM 3M,11.842,5.8,26.6,1,3,M,22.6,hypothalamus
10AM 8M,2.161,9.4,33.4,1,3,M,18,hypothalamus
10AM 9M,2.298,12.4,31.8,1,3,M,18.9,hypothalamus
10AM 12M,9.285,7.6,27.5,1,3,M,21.8,hypothalamus
10AM 13M,12.076,8,30.9,1,3,M,19.4,hypothalamus
10AM 14M,6.633,8.6,33.8,1,3,M,17.8,hypothalamus
10AM 15M,3.523,7.6,27.4,1,3,M,21.9,hypothalamus
10AM 16M,8.011,6.6,27.4,1,3,M,21.9,hypothalamus
12PM 2M,2.673,6,25.7,1,5,M,23.4,hypothalamus
12PM 10M,2.212,10.8,34.9,1,5,M,17.2,hypothalamus
12PM 11M,1.568,7.1,31,1,5,M,19.4,hypothalamus
12PM 12M,1.054,6.2,28.8,1,5,M,20.8,hypothalamus
12PM 13M,0.712,3.8,31.1,1,5,M,19.3,hypothalamus
12PM 14M,2.118,11.4,28.8,1,5,M,20.8,hypothalamus
12PM 15M,3.378,3.9,28.2,1,5,M,21.3,hypothalamus
12PM 16M,3.247,11.5,28.2,1,5,M,21.3,hypothalamus
12PM 17M,2.229,3.7,32.2,1,5,M,18.6,hypothalamus
12PM 18M,2.903,9.2,31.7,1,5,M,18.9,hypothalamus
2PM 3M,1.338,8.9,29.4,1,7,M,20.4,hypothalamus
2PM 5M,0.722,6.2,32,1,7,M,18.8,hypothalamus
2PM 6M,2.554,10.1,30.1,1,7,M,19.9,hypothalamus
2PM 8M,0.617,9.3,33,1,7,M,18.2,hypothalamus
2PM 9M,2.354,7,30.3,1,7,M,19.8,hypothalamus
2PM 10M,1.565,10.7,31,1,7,M,19.4,hypothalamus
2PM 11M,1.306,3.6,27.5,1,7,M,21.8,hypothalamus
2PM 12M,1.261,3.7,26.5,1,7,M,22.6,hypothalamus
4PM 17M,0.756,10.9,31.5,1,9,M,19,hypothalamus
4PM 18M,1.34,25.1,32.3,1,9,M,18.6,hypothalamus
4PM 19M,0.17,16.2,32.2,1,9,M,18.6,hypothalamus
4PM 20M,0.768,16.2,28.3,1,9,M,21.2,hypothalamus
4PM 21M,1.419,11.1,27.5,1,9,M,21.8,hypothalamus
4PM 22M,1.92,20.6,28.5,1,9,M,21.1,hypothalamus
4PM 23M,1.374,14.5,32.4,1,9,M,18.5,hypothalamus
4PM 24M,0.942,8.2,28.2,1,9,M,21.3,hypothalamus
6PM 17M,0.767,15.5,29,1,11,M,20.7,hypothalamus
6PM 18M,0.368,18.3,31.2,1,11,M,19.2,hypothalamus
6PM 19M,0.112,12.5,29.9,1,11,M,20.1,hypothalamus
6PM 20M,0.55,10.4,32.1,1,11,M,18.7,hypothalamus
6PM 21M,0,12.4,29.3,1,11,M,20.5,hypothalamus
6PM 22M,0.102,13.2,29.4,1,11,M,20.4,hypothalamus
8PM 12M,29.879,11.6,26.2,1,13,M,19.1,hypothalamus
8PM 13M,37.893,14.1,26.9,1,13,M,18.6,hypothalamus
8PM 14M,14.683,13.6,24.6,1,13,M,20.3,hypothalamus
8PM 15M,47.193,14.3,24.2,1,13,M,20.7,hypothalamus
8PM 16M,37.57,13.6,26.5,1,13,M,18.9,hypothalamus
8PM 17M,13.771,13.3,23.2,1,13,M,21.6,hypothalamus
9PM 1M,8.874,9.3,22.7,1,14,M,22,hypothalamus
9PM 2M,28.269,15.2,24.4,1,14,M,20.5,hypothalamus
9PM 3M,12.821,13.7,25,1,14,M,20,hypothalamus
