animal,retina,raw_conc,retina_wt,body_wt,day,ZT,sex,dose,tissue
730AM 1M,RR,117.857,4.2,29.5,1,0.5,M,20.34,retina
730AM 1M,LR,118.304,3.6,29.5,1,0.5,M,20.34,retina
730AM 2M,LR,112.779,4.7,30.4,1,0.5,M,19.74,retina
730AM 2M,RR,123.751,4.5,30.4,1,0.5,M,19.74,retina
730AM 3M,RR,131.783,4.1,31,1,0.5,M,19.35,retina
730AM 3M,LR,130.569,4.5,31,1,0.5,M,19.35,retina
730AM 4M,RR,222.102,4.5,30.4,1,0.5,M,19.74,retina
730AM 4M,LR,238.178,4.3,30.4,1,0.5,M,19.74,retina
730AM 5M,RR,152.606,4.9,33.1,1,0.5,M,18.13,retina
730AM 5M,LR,153.320,4,33.1,1,0.5,M,18.13,retina
730AM 6M,RR,162.011,3.6,29.6,1,0.5,M,20.27,retina
730AM 6M,LR,154.771,3.6,29.6,1,0.5,M,20.27,retina
730AM 7M,RR,215.938,5.1,29.5,1,0.5,M,20.34,retina
730AM 7M,LR,210.319,4,29.5,1,0.5,M,20.34,retina
730AM 9M,RR,171.347,5.9,26.5,1,0.5,M,22.64,retina
730AM 9M,LR,216.954,6.5,26.5,1,0.5,M,22.64,retina
8AM 10M,RR,146.346,4.1,29.7,1,1,M,20.20,retina
8AM 10M,LR,129.776,3.9,29.7,1,1,M,20.20,retina
8AM 11M,RR,113.197,3.7,31.3,1,1,M,19.17,retina
8AM 11M,LR,133.097,3.2,31.3,1,1,M,19.17,retina
8AM 12M,RR,135.451,3.6,33.3,1,1,M,18.02,retina
8AM 12M,LR,138.569,4,33.3,1,1,M,18.02,retina
8AM 13M,RR,275.259,3.8,30.2,1,1,M,19.87,retina
8AM 13M,LR,320.475,3.5,30.2,1,1,M,19.87,retina
8AM 16M,RR,258.120,4.4,28.4,1,1,M,21.13,retina
8AM 16M,LR,152.955,4.6,28.4,1,1,M,21.13,retina
8AM 17M,RR,82.393,4.3,27.5,1,1,M,21.82,retina
8AM 17M,LR,113.056,4.4,27.5,1,1,M,21.82,retina
8AM 21M,RR,127.363,3.7,30.5,1,1,M,19.67,retina
8AM 21M,LR,146.830,4.5,30.5,1,1,M,19.67,retina
8AM 22M,RR,126.579,4.1,30.8,1,1,M,19.48,retina
8AM 22M,LR,156.909,5.7,30.8,1,1,M,19.48,retina
8AM 23M,RR,154.987,5.7,29.8,1,1,M,20.13,retina
8AM 23M,LR,187.514,4.3,29.8,1,1,M,20.13,retina
8AM 24M,RR,85.269,4.7,26.5,1,1,M,20.38,retina
8AM 24M,LR,106.413,5.5,26.5,1,1,M,20.38,retina
8AM 25M,RR,72.322,4.3,27.7,1,1,M,19.49,retina
8AM 25M,LR,100.850,5.3,27.7,1,1,M,19.49,retina
8AM 26M,RR,97.481,5.7,28.3,1,1,M,19.08,retina
8AM 26M,LR,111.931,5,28.3,1,1,M,19.08,retina
8AM 27M,RR,107.666,5.4,26.7,1,1,M,20.22,retina
8AM 27M,LR,96.378,5.5,26.7,1,1,M,20.22,retina
8AM 28M,RR,124.944,4.2,27.6,1,1,M,19.57,retina
8AM 28M,LR,118.141,4.4,27.6,1,1,M,19.57,retina
8AM 29M,RR,52.887,4.4,27.9,1,1,M,19.35,retina
8AM 29M,LR,51.172,5.1,27.9,1,1,M,19.35,retina
8AM 30M,RR,124.016,3.8,25.8,1,1,M,20.93,retina
8AM 30M,LR,160.078,4.7,25.8,1,1,M,20.93,retina
8AM 31M,RR,87.232,4.5,26.2,1,1,M,20.61,retina
8AM 31M,LR,102.857,4.6,26.2,1,1,M,20.61,retina
9AM 2M,RR,203.365,5.9,28.8,1,2,M,20.83,retina
9AM 2M,LR,259.476,3.6,28.8,1,2,M,20.83,retina
