animal,raw_conc,ht_wt,body_wt,day,ZT,sex,dose,tissue
730AM 1M,495.912,0.1,29.5,1,0.5,M,20.3,serum
730AM 2M,312.769,0.1,30.4,1,0.5,M,19.7,serum
730AM 3M,556.703,0.1,31,1,0.5,M,19.4,serum
730AM 4M,733.509,0.1,30.4,1,0.5,M,19.7,serum
730AM 5M,431.759,0.1,33.1,1,0.5,M,18.1,serum
730AM 6M,1085.455,0.1,29.6,1,0.5,M,20.3,serum
730AM 7M,1069.810,0.1,29.5,1,0.5,M,20.3,serum
730AM 9M,1141.043,0.1,26.5,1,0.5,M,22.6,serum
8AM 10M,780.054,0.1,29.7,1,1,M,20.2,serum
8AM 11M,520.772,0.1,31.3,1,1,M,19.2,serum
8AM 12M,504.345,0.1,33.3,1,1,M,18.0,serum
8AM 13M,1247.794,0.1,30.2,1,1,M,19.9,serum
8AM 16M,468.612,0.1,28.4,1,1,M,21.1,serum
8AM 17M,145.263,0.1,27.5,1,1,M,21.8,serum
8AM 21M,811.834,0.1,30.5,1,1,M,19.7,serum
8AM 22M,538.983,0.1,30.8,1,1,M,19.5,serum
8AM 23M,700.978,0.1,29.8,1,1,M,20.1,serum
8AM 24M,557.430,0.1,26.5,1,1,M,20.4,serum
8AM 25M,534.197,0.1,27.7,1,1,M,19.5,serum
8AM 26M,524.607,0.1,28.3,1,1,M,19.1,serum
8AM 27M,603.676,0.1,26.7,1,1,M,20.2,serum
8AM 28M,547.117,0.1,27.6,1,1,M,19.6,serum
8AM 29M,169.333,0.1,27.9,1,1,M,19.4,serum
8AM 30M,670.886,0.1,25.8,1,1,M,20.9,serum
8AM 31M,600.901,0.1,26.2,1,1,M,20.6,serum
9AM 2M,103.01,0.1,28.8,1,2,M,20.8,serum
9AM 4M,15.14,0.1,29.5,1,2,M,20.3,serum
9AM 8M,22.31,0.1,34.2,1,2,M,17.5,serum
9AM 9M,36.53,0.1,34.2,1,2,M,17.5,serum
9AM 10M,90.799,0.1,28.6,1,2,M,21.0,serum
9AM 11M,66.645,0.1,29.9,1,2,M,20.1,serum
9AM 12M,76.684,0.1,31.5,1,2,M,19.0,serum
9AM 13M,35.434,0.1,27.4,1,2,M,21.9,serum
9AM 14M,204.766,0.1,30.3,1,2,M,19.8,serum
9AM 15M,52.726,0.1,30.4,1,2,M,19.7,serum
10AM 3M,16.180,0.1,26.6,1,3,M,22.6,serum
10AM 8M,8.280,0.1,33.4,1,3,M,18.0,serum
10AM 9M,17.410,0.1,31.8,1,3,M,18.9,serum
10AM 12M,27.141,0.1,27.5,1,3,M,21.8,serum
10AM 13M,11.020,0.1,30.9,1,3,M,19.4,serum
10AM 14M,37.077,0.1,33.8,1,3,M,17.8,serum
10AM 15M,48.487,0.1,27.4,1,3,M,21.9,serum
10AM 16M,23.534,0.1,27.4,1,3,M,21.9,serum
12PM 2PM,16.630,0.1,25.7,1,5,M,23.3,serum
12PM 10M,19.130,0.1,34.9,1,5,M,17.2,serum
12PM 11M,13.750,0.1,31,1,5,M,19.4,serum
12PM 12M,8.757,0.1,28.8,1,5,M,20.8,serum
12PM 13M,7.702,0.1,31.1,1,5,M,19.3,serum
12PM 14M,13.889,0.1,28.8,1,5,M,20.8,serum
12PM 15M,38.268,0.1,28.2,1,5,M,21.3,serum
12PM 16M,16.463,0.1,28.2,1,5,M,21.3,serum
12PM 17M,29.985,0.1,32.2,1,5,M,18.6,serum
12PM 18M,33.706,0.1,31.7,1,5,M,18.9,serum
2PM 3M,9.440,0.1,29.4,1,7,M,20.4,serum
2PM 5M,20.150,0.1,32,1,7,M,18.8,serum
2PM 6M,15.300,0.1,30.1,1,7,M,19.9,serum
2PM 8M,17.200,0.1,33,1,7,M,18.2,serum
2PM 9M,24.010,0.1,30.3,1,7,M,19.8,serum
2PM 10M,18.320,0.1,31,1,7,M,19.4,serum
2PM 11M,15.336,0.1,27.5,1,7,M,21.8,serum
2PM 12M,17.076,0.1,26.5,1,7,M,22.6,serum
4PM 17M,10.675,0.1,31.5,1,9,M,19.0,serum
4PM 18M,7.119,0.1,32.3,1,9,M,18.6,serum
4PM 19M,3.542,0.1,32.2,1,9,M,18.6,serum
4PM 20M,8.589,0.1,28.3,1,9,M,21.2,serum
4PM 21M,9.024,0.1,27.5,1,9,M,21.8,serum
4PM 22M,12.864,0.1,28.5,1,9,M,21.1,serum
4PM 23M,20.690,0.1,32.4,1,9,M,18.5,serum
4PM 24M,17.287,0.1,28.2,1,9,M,21.3,serum
6PM 17M,4.117,0.1,29,1,11,M,20.7,serum
6PM 18M,3.744,0.1,31.2,1,11,M,19.2,serum
6PM 19M,4.346,0.1,29.9,1,11,M,20.1,serum
6PM 20M,9.840,0.1,32.1,1,11,M,18.7,serum
6PM 21M,4.156,0.1,29.3,1,11,M,20.5,serum
6PM 22M,5.651,0.1,29.4,1,11,M,20.4,serum
8PM 12M,676.256,0.1,26.2,1,13,M,19.1,serum
8PM 13M,551.802,0.1,26.9,1,13,M,18.6,serum
8PM 14M,213.119,0.1,24.6,,13,M,20.3,serum
8PM 15M,642.292,0.1,24.2,1,13,M,20.7,serum
8PM 16M,607.884,0.1,26.5,1,13,M,18.9,serum
8PM 17M,193.074,0.1,23.2,,13,M,21.6,serum
9PM 1M,80.276,0.1,22.7,1,14,M,22.0,serum
9PM 2M,140.173,0.1,24.4,1,14,M,20.5,serum
9PM 3M,77.565,0.1,25,1,14,M,20.0,serum
9PM 4M,139.128,0.1,24.7,1,14,M,20.2,serum
9PM 5M,60.048,0.1,26.2,1,14,M,19.1,serum
9PM 6M,80.390,0.1,25.7,1,14,M,19.5,serum
9PM 7M,129.577,0.1,26.8,1,14,M,18.7,serum
9PM 8M,32.454,0.1,25.3,1,14,M,19.8,serum
10PM 1M,23.088,0.1,25.3,1,15,M,19.8,serum
10PM 2M,40.266,0.1,26.1,1,15,M,19.2,serum
10PM 3M,46.619,0.1,25.2,1,15,M,19.8,serum
10PM 4M,40.740,0.1,24,1,15,M,20.8,serum
10PM 5M,15.841,0.1,26.4,1,15,M,18.9,serum
10PM 6M,21.138,0.1,24.3,1,15,M,20.6,serum
10PM 7M,64.993,0.1,23.3,1,15,M,21.5,serum
10PM 8M,60.498,0.1,26.1,1,15,M,19.2,serum
Day 6 8AM 5M,307.701,0.1,24.9,6,1,M,20.1,serum
Day 6 8AM 6M,322.555,0.1,24.2,6,1,M,20.7,serum
Day 6 8AM 7M,197.363,0.1,25,6,1,M,20.0,serum
Day 6 8AM 8M,373.931,0.1,23.5,6,1,M,21.3,serum
Day 6 6PM 5M,6.056,0.1,25.2,6,11,M,19.8,serum
Day 6 6PM 6M,4.315,0.1,25.4,6,11,M,19.7,serum
Day 6 6PM 7M,4.196,0.1,26.5,6,11,M,18.9,serum
Day 13 9AM 1M,79.620,0.1,25,13,2,M,24.0,serum
Day 13 9AM 2M,39.081,0.1,33.7,13,2,M,17.8,serum
Day 13 9AM 3M,66.670,0.1,33,13,2,M,18.2,serum
Day 13 9AM 4M,20.036,0.1,34.5,13,2,M,17.4,serum
Day 13 4PM 1M,7.067,0.1,22.8,13,9,M,26.3,serum
Day 13 4PM 2M,5.579,0.1,32.9,13,9,M,18.2,serum
Day 13 4PM 3M,5.543,0.1,30.7,13,9,M,19.5,serum
Day 13 4PM 4M,3.762,0.1,32.1,13,9,M,18.7,serum
