animal,retina,raw_conc,retina_wt,body_wt,day,ZT,sex,dose,tissue
730AM 1M,RR,117.86,4.2,29.5,1,0.5,M,20.3,retina
730AM 1M,LR,118.3,3.6,29.5,1,0.5,M,20.3,retina
730AM 2M,LR,112.78,4.7,30.4,1,0.5,M,19.7,retina
730AM 2M,RR,123.75,4.5,30.4,1,0.5,M,19.7,retina
730AM 3M,RR,131.78,4.1,31,1,0.5,M,19.4,retina
730AM 3M,LR,130.57,4.5,31,1,0.5,M,19.4,retina
730AM 4M,RR,222.1,4.5,30.4,1,0.5,M,19.7,retina
730AM 4M,LR,238.18,4.3,30.4,1,0.5,M,19.7,retina
730AM 5M,RR,152.61,4.9,33.1,1,0.5,M,18.1,retina
730AM 5M,LR,153.32,4,33.1,1,0.5,M,18.1,retina
730AM 6M,RR,162.01,3.6,29.6,1,0.5,M,20.3,retina
730AM 6M,LR,154.77,3.6,29.6,1,0.5,M,20.3,retina
730AM 7M,RR,215.94,5.1,29.5,1,0.5,M,20.3,retina
730AM 7M,LR,210.32,4,29.5,1,0.5,M,20.3,retina
730AM 9M,RR,171.35,5.9,26.5,1,0.5,M,22.6,retina
730AM 9M,LR,216.95,6.5,26.5,1,0.5,M,22.6,retina
8AM 10M,RR,146.35,4.1,29.7,1,1,M,20.2,retina
8AM 10M,LR,129.78,3.9,29.7,1,1,M,20.2,retina
8AM 11M,RR,113.2,3.7,31.3,1,1,M,19.2,retina
8AM 11M,LR,133.1,3.2,31.3,1,1,M,19.2,retina
8AM 12M,RR,135.45,3.6,33.3,1,1,M,18,retina
8AM 12M,LR,138.57,4,33.3,1,1,M,18,retina
8AM 13M,RR,275.26,3.8,30.2,1,1,M,19.9,retina
8AM 13M,LR,320.48,3.5,30.2,1,1,M,19.9,retina
8AM 14M,RR,201.24,5.2,30.8,1,1,M,19.5,retina
8AM 14M,LR,186.96,3.9,30.8,1,1,M,19.5,retina
8AM 15M,RR,88.29,4.8,32.7,1,1,M,18.3,retina
8AM 15M,LR,132.01,4.4,32.7,1,1,M,18.3,retina
8AM 16M,RR,258.12,4.4,28.4,1,1,M,21.1,retina
8AM 16M,LR,152.95,4.6,28.4,1,1,M,21.1,retina
8AM 17M,RR,82.39,4.3,27.5,1,1,M,21.8,retina
8AM 17M,LR,113.06,4.4,27.5,1,1,M,21.8,retina
8AM 18M,RR,220.64,5.6,30.2,1,1,M,19.9,retina
8AM 18M,LR,208.21,5.2,30.2,1,1,M,19.9,retina
8AM 19M,RR,155.59,5.7,32.6,1,1,M,18.4,retina
8AM 19M,LR,157.34,5.8,32.6,1,1,M,18.4,retina
8AM 20M,RR,170.68,5.2,28.6,1,1,M,21,retina
8AM 20M,LR,154.37,4.5,28.6,1,1,M,21,retina
8AM 21M,RR,127.36,3.7,30.5,1,1,M,19.7,retina
8AM 21M,LR,146.83,4.5,30.5,1,1,M,19.7,retina
8AM 22M,RR,126.58,4.1,30.8,1,1,M,19.5,retina
8AM 22M,LR,156.91,5.7,30.8,1,1,M,19.5,retina
8AM 23M,RR,154.99,5.7,29.8,1,1,M,20.1,retina
8AM 23M,LR,187.51,4.3,29.8,1,1,M,20.1,retina
9AM 2M,RR,203.36,5.9,28.8,1,2,M,20.8,retina
9AM 2M,LR,259.48,3.6,28.8,1,2,M,20.8,retina
9AM 4M,RR,105.77,2.6,29.5,1,2,M,20.3,retina
9AM 4M,LR,101.29,2.1,29.5,1,2,M,20.3,retina
9AM 5M,RR,154.99,4.6,32.8,1,2,M,18.3,retina
9AM 5M,LR,117.73,4.4,32.8,1,2,M,18.3,retina
9AM 10M,RR,293.84,6,28.6,1,2,M,21,retina
9AM 10M,LR,242.37,4.9,28.6,1,2,M,21,retina
9AM 11M,RR,225.45,4.4,29.9,1,2,M,20.1,retina
9AM 11M,LR,210.88,4.1,29.9,1,2,M,20.1,retina
9AM 12M,RR,50.14,6.8,31.5,1,2,M,19,retina
9AM 12M,LR,33,4,31.5,1,2,M,19,retina
9AM 13M,RR,107.11,4.8,27.4,1,2,M,21.9,retina
9AM 13M,LR,98.83,3.9,27.4,1,2,M,21.9,retina
9AM 14M,RR,282.95,5.6,30.3,1,2,M,19.8,retina
9AM 14M,LR,214.3,4.3,30.3,1,2,M,19.8,retina
9AM 15M,RR,35.6,5.6,30.4,1,2,M,19.7,retina
9AM 15M,LR,47.24,5.2,30.4,1,2,M,19.7,retina
9AM 16M,RR,256.33,3.7,31.2,1,2,M,19.2,retina
9AM 16M,LR,193.76,3.7,31.2,1,2,M,19.2,retina
9AM 17M,LR,235.17,4.4,29.4,1,2,M,20.4,retina
10AM 3M,RR,90.46,3.7,26.6,1,3,M,22.6,retina
10AM 3M,LR,105.27,3.9,26.6,1,3,M,22.6,retina
10AM 8M,RR,29.14,4.3,33.4,1,3,M,18,retina
10AM 8M,LR,31.53,4.7,33.4,1,3,M,18,retina
10AM 9M,RR,21.3,4.4,31.8,1,3,M,18.9,retina
10AM 9M,LR,21.73,4.2,31.8,1,3,M,18.9,retina
10AM 12M,RR,85.38,5.7,27.5,1,3,M,21.8,retina
