animal,raw_conc,volume,body_wt,day,ZT,sex,dose,tissue
730AM 1M,495.91,0.1,29.5,1,0.5,M,20.3,serum
730AM 2M,312.77,0.1,30.4,1,0.5,M,19.7,serum
730AM 3M,556.70,0.1,31,1,0.5,M,19.4,serum
730AM 4M,733.51,0.1,30.4,1,0.5,M,19.7,serum
730AM 5M,431.76,0.1,33.1,1,0.5,M,18.1,serum
730AM 6M,1085.46,0.1,29.6,1,0.5,M,20.3,serum
730AM 7M,1069.81,0.1,29.5,1,0.5,M,20.3,serum
730AM 9M,1141.04,0.1,26.5,1,0.5,M,22.6,serum
8AM 10M,780.05,0.1,29.7,1,1,M,20.2,serum
8AM 11M,520.77,0.1,31.3,1,1,M,19.2,serum
8AM 12M,504.35,0.1,33.3,1,1,M,18,serum
8AM 13M,1247.79,0.1,30.2,1,1,M,19.9,serum
8AM 14M,528.30,0.1,30.8,1,1,M,19.5,serum
8AM 15M,311.22,0.1,32.7,1,1,M,18.3,serum
8AM 16M,468.61,0.1,28.4,1,1,M,21.1,serum
8AM 17M,145.26,0.1,27.5,1,1,M,21.8,serum
8AM 18M,628.57,0.1,30.2,1,1,M,19.9,serum
8AM 19M,418.77,0.1,32.6,1,1,M,18.4,serum
8AM 20M,388.55,0.1,28.6,1,1,M,21,serum
8AM 21M,811.83,0.1,30.5,1,1,M,19.7,serum
8AM 22M,538.98,0.1,30.8,1,1,M,19.5,serum
8AM 23M,700.98,0.1,29.8,1,1,M,20.1,serum
9AM 2M,103.01,0.1,28.8,1,2,M,20.8,serum
9AM 4M,15.14,0.1,29.5,1,2,M,20.3,serum
9AM 5M,123.64,0.1,32.8,1,2,M,18.3,serum
9AM 10M,90.80,0.1,28.6,1,2,M,21,serum
9AM 11M,66.64,0.1,29.9,1,2,M,20.1,serum
9AM 12M,76.68,0.1,31.5,1,2,M,19,serum
9AM 13M,35.43,0.1,27.4,1,2,M,21.9,serum
9AM 14M,204.77,0.1,30.3,1,2,M,19.8,serum
9AM 15M,52.73,0.1,30.4,1,2,M,19.7,serum
9AM 16M,84.00,0.1,31.2,1,2,M,19.2,serum
9AM 17M,88.01,0.1,29.4,1,2,M,20.4,serum
10AM 3M,16.18,0.1,26.6,1,3,M,22.6,serum
